Latitude,Longitude,Country,Extreme Annual Mean Min Dry Bulb Temperature,Extreme Annual Standard Deviation Min Dry Bulb Temperature,20-Year Return Period Extreme Min Dry Bulb Temperature,50-Year Return Period Extreme Min Dry Bulb Temperature
61.916,6.558,NOR,-14.8,2.2,-18.9,-20.5
60.85,5.983,NOR,N/A,N/A,N/A,N/A
60.383,5.967,NOR,-13.9,2,-17.7,-19.2
60.35,6.267,NOR,-5.9,1.6,-8.9,-10.1
61.43,6.77,NOR,-19.6,3.5,-26.2,-28.8
60.633,6.433,NOR,-19.6,5.7,-30.3,-34.4
61.167,6.65,NOR,-7.5,1.4,-10.1,-11.1
60.42,7.28,NOR,-20.1,1.8,-23.4,-24.7
60.6,7.533,NOR,N/A,N/A,N/A,N/A
60.533,8.2,NOR,-28.4,2.5,-33.1,-34.9
61.9,7.9,NOR,-24.2,3.8,-31.3,-34
61.183,8.117,NOR,-28,4.6,-36.6,-39.9
61.567,8,NOR,N/A,N/A,N/A,N/A
60.983,9.217,NOR,-25,3.2,-31,-33.4
60.567,9.133,NOR,-24.5,3.7,-31.4,-34.1
61.467,10.133,NOR,N/A,N/A,N/A,N/A
61.033,2.033,NOR,-2.9,1.8,-6.2,-7.5
61.1,10.467,NOR,-21.3,2.7,-26.3,-28.2
61.4,11.15,NOR,-28.8,3.3,-35.1,-37.5
60.194,11.1,NOR,-21.7,3,-27.3,-29.5
60.817,11.067,NOR,-20.2,3.2,-26.1,-28.4
61.183,11.367,NOR,-28.3,3.7,-35.1,-37.7
60.617,12.017,NOR,-24.9,3.5,-31.3,-33.8
61.883,12.033,NOR,-33.5,2.6,-38.4,-40.3
61.3,12.267,NOR,-28.7,2.4,-33.2,-34.9
56.55,3.217,NOR,-1.5,2.1,-5.4,-6.9
59.3,4.867,NOR,-4.3,2.1,-8.1,-9.6
56.55,3.25,NOR,-1.6,1.7,-4.7,-5.9
59.917,5.067,NOR,-4.6,2.1,-8.6,-10.1
59.345,5.208,NOR,-10.5,3.1,-16.3,-18.5
59.067,5.417,NOR,-4.6,1.6,-7.5,-8.7
58.65,5.567,NOR,N/A,N/A,N/A,N/A
58.877,5.638,NOR,-10.9,2.7,-15.9,-17.8
59.167,6.033,NOR,N/A,N/A,N/A,N/A
58.517,6.517,NOR,-17.6,3.8,-24.8,-27.6
58.117,6.567,NOR,-8.5,2.8,-13.6,-15.7
59.833,6.983,NOR,-16.9,1.5,-19.7,-20.9
59.767,7.367,NOR,N/A,N/A,N/A,N/A
57.983,7.05,NOR,-7.3,2.4,-11.8,-13.6
59.583,7.383,NOR,-30.2,2.3,-34.5,-36.1
59.5,8.2,NOR,-26.6,1.6,-29.5,-30.7
58.067,8.05,NOR,-9.4,2.6,-14.4,-16.3
59.833,8.183,NOR,-22.8,2.2,-27,-28.6
58.204,8.085,NOR,-15.9,3.4,-22.2,-24.7
59.033,8.517,NOR,-19,3.9,-26.3,-29.2
58.4,8.783,NOR,-10.4,2.8,-15.7,-17.7
58.633,9.15,NOR,-11,2.1,-15,-16.6
60.183,12,NOR,-23.7,4,-31.1,-34
60.167,10.25,NOR,-19.7,3.5,-26.2,-28.7
59.383,9.2,NOR,-17.3,2.3,-21.6,-23.2
60.05,9.15,NOR,-19.8,2.8,-25,-27
59.617,9.633,NOR,-21.6,2.9,-27.2,-29.3
58.85,9.55,NOR,-10.9,2.7,-16,-18
59.717,10.15,NOR,-20.3,2.9,-25.7,-27.9
59.75,10.133,NOR,-19.4,3.3,-25.7,-28.1
59.233,10.35,NOR,-17.6,3.1,-23.3,-25.5
59.033,10.517,NOR,-9.1,2.8,-14.4,-16.5
60.117,10.833,NOR,-20.1,4.8,-29.1,-32.6
59.983,10.683,NOR,-15.9,2,-19.6,-21.1
59.942,10.72,NOR,-16.7,2.3,-21,-22.7
59.379,10.786,NOR,-18.2,3.4,-24.6,-27.1
59.15,10.833,NOR,-13.1,3,-18.6,-20.7
56.083,13.213,SWE,-15.2,4.9,-24.3,-27.9
67.733,17.467,SWE,-26.7,2.4,-31.3,-33
68.417,18.167,SWE,-28.7,2.9,-34.1,-36.2
67.5,18.3,SWE,N/A,N/A,N/A,N/A
67.917,18.6,SWE,N/A,N/A,N/A,N/A
68.067,19.833,SWE,-35.6,2.1,-39.5,-41
67.85,19.033,SWE,-39.3,2.6,-44.1,-46
67.25,20.267,SWE,-34.3,2.9,-39.7,-41.8
67.822,20.337,SWE,-32.1,3.3,-38.1,-40.5
67.132,20.815,SWE,-35.2,3.4,-41.6,-44.1
68.05,21.75,SWE,N/A,N/A,N/A,N/A
68.676,21.522,SWE,-37.8,2.5,-42.5,-44.3
67.333,22.233,SWE,-31.8,3.2,-37.7,-40
67.733,22.833,SWE,-33.1,3.3,-39.3,-41.7
68.45,22.45,SWE,-38,4.4,-46.2,-49.4
67.767,22.35,SWE,-34.1,4.1,-41.8,-44.8
67.2,23.383,SWE,-34.7,3.3,-40.8,-43.2
65.806,15.083,SWE,-34.1,4.4,-42.3,-45.5
65.1,14.517,SWE,N/A,N/A,N/A,N/A
65.783,15.067,SWE,-30.3,6.7,-42.7,-47.6
65.067,14.8,SWE,-31.5,4.4,-39.6,-42.8
65.333,15.067,SWE,N/A,N/A,N/A,N/A
66.883,18.017,SWE,-37.1,3.4,-43.5,-45.9
66.683,16.117,SWE,N/A,N/A,N/A,N/A
66.05,17.833,SWE,-32.7,3.5,-39.3,-41.9
65.017,17.7,SWE,-33.7,3.5,-40.1,-42.6
66.483,16.417,SWE,-35.8,2.5,-40.4,-42.2
65.567,17.867,SWE,-36,2.7,-41.2,-43.1
66.317,19.217,SWE,N/A,N/A,N/A,N/A
66.5,19.683,SWE,N/A,N/A,N/A,N/A
65.15,18.6,SWE,-31.8,3.5,-38.3,-40.9
65.6,19.267,SWE,-33,3.7,-39.9,-42.6
66.483,20.167,SWE,-33,4,-40.5,-43.4
65.875,20.15,SWE,-34.8,3.5,-41.3,-43.8
66.75,20.933,SWE,N/A,N/A,N/A,N/A
66.383,21.633,SWE,N/A,N/A,N/A,N/A
65.667,21.067,SWE,-35.9,3.2,-41.8,-44.1
66.283,21.133,SWE,-33.7,3.2,-39.8,-42.1
65.033,21.567,SWE,-26.8,6.4,-38.7,-43.3
66.267,22.85,SWE,-34,4.2,-41.7,-44.7
66.817,22.333,SWE,-29.1,3.6,-35.8,-38.4
65.544,22.122,SWE,-29.3,4,-36.8,-39.8
65.317,22.383,SWE,N/A,N/A,N/A,N/A
65.7,23.1,SWE,N/A,N/A,N/A,N/A
65.83,24.148,SWE,-28.3,4,-35.7,-38.6
66.617,23.467,SWE,-35.1,3.3,-41.3,-43.6
63.283,12.117,SWE,-25.4,5.4,-35.4,-39.4
63.05,12.283,SWE,-21.3,3.1,-27.1,-29.4
63.3,13.883,SWE,-27.3,3.2,-33.2,-35.5
63.367,13.167,SWE,-27.7,3.4,-34,-36.4
63.833,13.5,SWE,-26,2.4,-30.4,-32.2
64.5,14.167,SWE,N/A,N/A,N/A,N/A
63.2,14.5,SWE,-25,3.6,-31.8,-34.4
64.217,15.55,SWE,-29.5,3.2,-35.4,-37.8
63.683,14.6,SWE,-28.2,2.6,-33.1,-34.9
64.967,15.383,SWE,-32.9,2.6,-37.8,-39.6
63.767,15.333,SWE,-27,3.6,-33.6,-36.2
64.083,16.233,SWE,-33,3.3,-39.2,-41.5
63.683,16.95,SWE,-32.3,3.3,-38.4,-40.8
64.583,16.85,SWE,-35.6,2.7,-40.6,-42.6
63.15,16.167,SWE,-29.3,3.2,-35.2,-37.6
64.45,17.083,SWE,-35.5,3.4,-41.8,-44.3
64.167,17.317,SWE,-35.7,2.7,-40.8,-42.8
64.733,17.4,SWE,N/A,N/A,N/A,N/A
63.133,18.25,SWE,-26.4,3.1,-32.1,-34.4
64.55,18.717,SWE,-35.4,3.1,-41.2,-43.5
64.083,18.367,SWE,-29,4.6,-37.6,-40.9
63.65,18.55,SWE,-29.8,2.6,-34.6,-36.4
63.408,18.99,SWE,-25.6,3.3,-31.8,-34.2
63.183,19.017,SWE,-20.1,4.2,-28,-31.1
64.933,19.383,SWE,-32,3.9,-39.2,-42
64.567,19.7,SWE,-33.8,3.1,-39.6,-41.8
63.433,19.683,SWE,-22.8,4.4,-31,-34.2
63.792,20.283,SWE,-26.9,4,-34.5,-37.4
61.267,17.1,SWE,-20.2,3.4,-26.5,-28.9
63.8,20.867,SWE,-21,5.1,-30.5,-34.2
63.6,20.75,SWE,-17.6,4.1,-25.1,-28.1
64.433,21.283,SWE,N/A,N/A,N/A,N/A
64.625,21.077,SWE,-29.5,4.2,-37.4,-40.4
64.483,21.583,SWE,-22.1,4.1,-29.7,-32.6
61.833,12.283,SWE,-35.1,2,-38.9,-40.3
62.733,12.733,SWE,-23.3,3,-29,-31.2
61.133,12.817,SWE,N/A,N/A,N/A,N/A
61.883,12.85,SWE,-19.3,3.8,-26.4,-29.2
62.45,12.667,SWE,-24,2.8,-29.2,-31.2
61.15,13.117,SWE,-20.3,2.7,-25.3,-27.3
61.7,13.183,SWE,-34.7,4.2,-42.6,-45.6
62.1,13.617,SWE,N/A,N/A,N/A,N/A
62.75,13.85,SWE,-33.9,2.1,-37.9,-39.5
61.25,14.033,SWE,-27.7,2.9,-33,-35.1
62.5,14.15,SWE,-21.5,2.9,-26.9,-29.1
62.05,14.4,SWE,-31.1,5.1,-40.6,-44.3
61.667,15,SWE,-21.9,2.7,-27,-28.9
62.75,15.083,SWE,-31.5,3.2,-37.5,-39.8
62.267,15.667,SWE,N/A,N/A,N/A,N/A
61.367,15.717,SWE,-28.4,3.6,-35.2,-37.8
62.517,16.183,SWE,-32.7,4.5,-41.1,-44.4
62.5,16.283,SWE,-29.2,3.2,-35.1,-37.5
61.833,16.55,SWE,-25.7,3.1,-31.4,-33.7
62.767,16.733,SWE,-29.9,3.3,-36.1,-38.5
62.433,17.35,SWE,-21.7,3.1,-27.4,-29.7
61.7,17.533,SWE,-16.4,3.7,-23.2,-25.9
62.528,17.444,SWE,-24.4,4.1,-32.1,-35.1
62.217,17.75,SWE,-16.9,4.1,-24.5,-27.5
62.65,18.1,SWE,-20,5.3,-29.8,-33.6
60.35,12.65,SWE,-22.6,5.5,-32.9,-36.9
60.683,13.7,SWE,-25.8,4.5,-34.2,-37.4
59.217,12.083,SWE,-20.8,3.2,-26.7,-29
59.676,12.639,SWE,-24.6,5.9,-35.5,-39.8
60.75,12.767,SWE,-27.1,2.7,-32.3,-34.2
59.367,13.467,SWE,-18.9,4.6,-27.4,-30.7
59.445,13.337,SWE,-19.7,3.7,-26.7,-29.4
59.867,13.117,SWE,-24.2,3.6,-30.8,-33.4
60.15,13.8,SWE,-28.3,4,-35.7,-38.6
59.667,14.183,SWE,-24.3,4.4,-32.5,-35.7
59.233,15.05,SWE,-21.2,4.1,-28.8,-31.8
60.422,15.515,SWE,-21.7,4.3,-29.6,-32.7
60.967,16.433,SWE,-26.5,3.1,-32.3,-34.5
60.967,14.5,SWE,-26.3,3.4,-32.6,-35.1
60.167,16.317,SWE,N/A,N/A,N/A,N/A
59.589,16.634,SWE,-20,5.6,-30.5,-34.6
59.383,16.45,SWE,-22.5,5.1,-32,-35.7
60.733,17.567,SWE,N/A,N/A,N/A,N/A
59.3,14.9,SWE,-16.5,2.8,-21.8,-23.8
60.717,17.167,SWE,-23.5,3.6,-30.2,-32.9
60.233,17.9,SWE,-23,4,-30.4,-33.3
59.897,17.589,SWE,-21.7,5.8,-32.6,-36.8
59.652,17.919,SWE,-18.6,4.5,-26.9,-30.2
59.354,17.942,SWE,-17.7,4.1,-25.4,-28.4
60.383,15.133,SWE,-18.8,2.9,-24.2,-26.3
59.183,17.917,SWE,-24,4.5,-32.4,-35.6
60.117,15.117,SWE,-21.5,3.7,-28.5,-31.2
60.167,18.75,SWE,-16.2,6,-27.5,-31.9
59.05,16.4,SWE,-22.4,4.6,-31,-34.3
59.917,16.683,SWE,-25,2.9,-30.4,-32.5
60.267,16.983,SWE,-25.1,3.2,-31,-33.3
59.35,18.067,SWE,-14.4,3.6,-21.1,-23.7
58.789,16.912,SWE,-20.8,3.7,-27.8,-30.6
59.367,17.517,SWE,-20.3,5.4,-30.4,-34.4
59.3,18.7,SWE,-15.5,4.9,-24.7,-28.3
60.526,18.377,SWE,-12.8,4.4,-20.9,-24
59.833,18.633,SWE,-25.6,5.5,-35.9,-39.9
59.75,19.417,SWE,-10.9,4.7,-19.5,-22.9
59.444,19.506,SWE,-8.5,2.9,-13.9,-16
58.9,11,SWE,-12,2.7,-17,-18.9
58.094,11.334,SWE,-9.7,2.5,-14.4,-16.2
58.667,11.417,SWE,-17.4,2.7,-22.4,-24.3
57.775,11.87,SWE,-16.5,3.4,-22.9,-25.4
57.717,12,SWE,-14.4,2.6,-19.3,-21.3
58.2,12.15,SWE,-20.4,5.4,-30.5,-34.4
57.633,11.617,SWE,N/A,N/A,N/A,N/A
57.3,11.9,SWE,-8.1,2.9,-13.5,-15.6
58.426,12.714,SWE,-17.5,4.2,-25.3,-28.4
58.6,12.417,SWE,-21.6,4.8,-30.5,-34
57.663,12.28,SWE,-15.1,2.9,-20.6,-22.7
57.783,13.167,SWE,-16.4,2.8,-21.6,-23.6
57.117,12.783,SWE,N/A,N/A,N/A,N/A
58.6,12.2,SWE,-16.3,3.2,-22.2,-24.5
58.317,13.033,SWE,-20.7,5.1,-30.1,-33.8
58.517,14.517,SWE,-14.2,5.7,-24.7,-28.8
58.883,14.383,SWE,-16.8,2.8,-21.9,-23.9
58.1,14.417,SWE,-10.6,2.2,-14.7,-16.3
57.5,14.467,SWE,-15.5,2.2,-19.6,-21.2
57.758,14.069,SWE,-20.9,3.8,-28,-30.7
58.067,15.233,SWE,-17.6,3.6,-24.4,-27
58.083,13.783,SWE,-24.4,4.7,-33.2,-36.6
58.717,15.033,SWE,-16.4,2.7,-21.4,-23.4
57.292,14.137,SWE,-20.3,3.5,-26.8,-29.3
57.883,15.867,SWE,-25.6,4.8,-34.5,-38
58.683,16.317,SWE,-16.3,3.1,-22,-24.3
57.7,16.467,SWE,-19.2,4.8,-28.1,-31.6
58.402,15.526,SWE,-19.7,4.6,-28.2,-31.6
58.406,15.681,SWE,-19,4,-26.5,-29.4
58.25,17.017,SWE,-12.1,4,-19.5,-22.4
56.283,12.833,SWE,-15.1,3.2,-21,-23.3
57.4,15.817,SWE,-22.2,4.4,-30.5,-33.7
58.75,17.867,SWE,-10.9,3.2,-16.9,-19.2
58.617,16.117,SWE,-18.6,5.8,-29.5,-33.7
58.586,16.251,SWE,-18.4,4.9,-27.4,-31
58.583,16.15,SWE,-18.7,4.3,-26.6,-29.7
57.367,17.1,SWE,-7.7,2.9,-13.1,-15.2
57.917,18.95,SWE,-9.9,2.3,-14.3,-15.9
57.9,19.167,SWE,-8.1,3.3,-14.3,-16.7
58.4,19.2,SWE,-9.9,2.9,-15.2,-17.3
57.663,18.346,SWE,-14.1,4.2,-22,-25.1
57.55,18.433,SWE,-19.2,3.6,-26,-28.6
57.433,18.983,SWE,N/A,N/A,N/A,N/A
56.4,12.95,SWE,-15.7,2.4,-20.3,-22.1
56.867,12.667,SWE,-16.4,3.8,-23.6,-26.3
56.691,12.82,SWE,-14.3,3,-19.8,-22
56.45,12.55,SWE,-8.7,2.1,-12.7,-14.2
56.3,12.45,SWE,-7.3,4.8,-16.3,-19.8
56.283,12.083,SWE,-13.7,4.5,-22.2,-25.5
55.467,13.667,SWE,-13.7,3.9,-21,-23.8
56.033,12.767,SWE,-13.9,3.7,-20.7,-23.4
55.383,12.817,SWE,-8.3,2.7,-13.3,-15.3
56.95,13.067,SWE,-19.6,3.1,-25.4,-27.6
56.85,13.883,SWE,-20.9,4,-28.4,-31.3
55.867,13.667,SWE,-16.1,2.6,-21,-22.9
55.483,14.317,SWE,-11.8,2.6,-16.8,-18.7
56.367,13.95,SWE,-15.7,5.3,-25.6,-29.5
56.017,14.85,SWE,-8.7,2.4,-13.3,-15.1
55.95,15.7,SWE,N/A,N/A,N/A,N/A
55.567,13.067,SWE,-13.9,3.5,-20.4,-23
55.53,13.372,SWE,-15.1,4.5,-23.6,-26.8
56.929,14.728,SWE,-19.1,3.6,-25.8,-28.4
56.2,16.4,SWE,-10,2.8,-15.3,-17.3
56.667,16.467,SWE,N/A,N/A,N/A,N/A
56.85,14.833,SWE,-15.3,3.4,-21.6,-24.1
55.922,14.086,SWE,-17.2,4.6,-25.9,-29.2
56.833,15.467,SWE,N/A,N/A,N/A,N/A
56.267,15.265,SWE,-16.9,3.7,-23.9,-26.6
56.033,15.8,SWE,-9.9,5.1,-19.5,-23.2
56.683,16.3,SWE,-18.2,4.9,-27.3,-30.8
56.917,18.15,SWE,-8.1,2.6,-12.9,-14.8
67.701,24.847,FIN,-35.7,3.2,-41.7,-44
62.171,27.869,FIN,-29.8,4.8,-38.8,-42.2
64.05,24.717,FIN,-30.4,4.6,-39.1,-42.4
60.467,23.65,FIN,-24.2,4.6,-32.6,-36
60.25,20.75,FIN,-15.6,4.6,-24.2,-27.6
69.05,20.783,FIN,-35.4,2.3,-39.6,-41.2
69.75,27,FIN,-37,3.4,-43.3,-45.8
68.607,27.405,FIN,-35.1,4.3,-43.1,-46.3
68.363,23.424,FIN,-37.1,3.1,-43,-45.2
67.967,23.683,FIN,-35.2,3.9,-42.4,-45.2
67.395,26.619,FIN,-36.8,3.7,-43.8,-46.4
66.767,23.967,FIN,-33.5,3.1,-39.4,-41.6
66.565,25.83,FIN,-27.4,4.1,-35,-37.9
66.833,28.667,FIN,-34.7,2.9,-40.2,-42.3
65.667,24.517,FIN,-27,4.1,-34.5,-37.5
65.383,24.1,FIN,-22.8,5.5,-33.2,-37.2
65.782,24.599,FIN,-29.5,4,-36.9,-39.8
65.417,26.967,FIN,-34.7,3.5,-41.2,-43.8
65.367,27.017,FIN,-29.8,2.1,-33.7,-35.2
65.988,29.239,FIN,-34.5,3.8,-41.5,-44.2
65.033,24.567,FIN,-26.3,4.8,-35.4,-38.9
65.02,24.727,FIN,-29.1,4.6,-37.7,-41
64.93,25.355,FIN,-29,4.5,-37.4,-40.6
64.9,29.017,FIN,-32.5,2.7,-37.5,-39.4
64.933,28.75,FIN,-33.9,4,-41.4,-44.3
64.285,27.692,FIN,-32.9,3.7,-39.7,-42.4
63.733,22.583,FIN,-25.6,4.5,-33.9,-37.2
63.721,23.143,FIN,-28.4,4.7,-37.2,-40.6
63.917,24.967,FIN,-29.9,3.5,-36.3,-38.8
64.333,23.45,FIN,-19.3,5.6,-29.8,-33.9
63.433,21.067,FIN,-17.8,5.1,-27.2,-30.9
63.051,21.762,FIN,-25.8,5.1,-35.3,-39.1
63.127,23.051,FIN,-28.2,5,-37.5,-41.2
63.083,25.867,FIN,-27.1,4.8,-36.1,-39.6
63.007,27.798,FIN,-29,4.1,-36.6,-39.6
61.2,28.467,FIN,-29.8,5,-39.2,-42.8
63.75,22.517,FIN,-20.6,4.9,-29.7,-33.3
62.883,21.1,FIN,-24.1,4.2,-31.9,-35
62.533,24.217,FIN,-30.2,4.3,-38.2,-41.3
62.663,29.608,FIN,-29.7,4.2,-37.4,-40.4
62.399,25.678,FIN,-30.1,4.2,-37.9,-40.9
62.767,30.983,FIN,-30.3,4.7,-39.1,-42.5
61.833,22.467,FIN,-25.1,4,-32.6,-35.5
61.414,23.604,FIN,-26.3,4.1,-34.1,-37.1
61.856,24.787,FIN,-29.3,4.4,-37.5,-40.7
61.687,27.202,FIN,-30.2,4.1,-37.8,-40.8
61.943,28.945,FIN,-29.8,3.8,-36.9,-39.6
61.462,21.8,FIN,-23.3,3.8,-30.4,-33.1
61.045,28.144,FIN,-25.7,3.9,-33,-35.8
61.133,21.367,FIN,-19.3,6,-30.6,-35
60.817,23.5,FIN,-25.6,3.7,-32.6,-35.3
60.717,21.033,FIN,-16.1,4.8,-25,-28.4
60.967,25.633,FIN,-27.2,4.5,-35.5,-38.7
60.896,26.938,FIN,-26.6,3.8,-33.7,-36.5
60.283,27.183,FIN,-18.9,5.6,-29.4,-33.4
60.122,19.898,FIN,-19.5,4.8,-28.5,-31.9
60.15,19.867,FIN,-21.4,3.8,-28.5,-31.3
60.514,22.263,FIN,-23.4,3.8,-30.4,-33.1
60.317,24.963,FIN,-24.2,4.2,-32.1,-35.2
60.255,25.043,FIN,-23.7,4.8,-32.6,-36
60.375,26.959,FIN,-21,4.5,-29.4,-32.6
59.5,20.35,FIN,N/A,N/A,N/A,N/A
59.967,19.95,FIN,-11.5,4.8,-20.4,-23.9
59.783,21.367,FIN,-12.6,4.4,-20.8,-24
59.767,22.95,FIN,-15.9,4.2,-23.8,-26.9
59.933,24.017,FIN,-18.1,4.6,-26.7,-30
59.983,25.6,FIN,-15.3,4.4,-23.5,-26.7
60.1,25.067,FIN,-18.4,3.5,-25,-27.5
60.3,20.75,FIN,-14.9,7.9,-29.7,-35.4
60.2,25.633,FIN,-20.5,4.5,-28.9,-32.2
60.283,26.45,FIN,-18.7,5.1,-28.3,-32
60.3,19.133,FIN,-10.9,4.2,-18.8,-21.9
60.85,-0.883,GBR,-1.8,1.4,-4.4,-5.4
60.75,-0.85,GBR,-5.9,2.1,-9.9,-11.4
59.879,-1.296,GBR,-3.6,1.6,-6.6,-7.8
60.533,-1.383,GBR,-5.2,0.7,-6.6,-7.1
60.133,-1.183,GBR,-4.1,1.4,-6.7,-7.8
60.45,-1.267,GBR,-3.9,1.8,-7.2,-8.5
60.583,-1.267,GBR,-2.7,2.8,-7.9,-10
59.533,-1.633,GBR,-2.1,1.7,-5.3,-6.5
59.083,-4.4,GBR,-0.1,1.5,-2.9,-4
59.117,-5.817,GBR,-1.7,1.4,-4.4,-5.4
60.117,-2.067,GBR,-2.3,1.1,-4.4,-5.3
58.958,-2.905,GBR,-3.3,1.7,-6.6,-7.8
57.481,-7.363,GBR,-6.4,7.4,-20.3,-25.8
57.333,-7.367,GBR,-2.1,1.4,-4.7,-5.8
56.967,-6.683,GBR,N/A,N/A,N/A,N/A
58.517,-6.267,GBR,-1.7,0.9,-3.4,-4
58.216,-6.331,GBR,-3.7,2.2,-7.8,-9.4
57.717,-4.883,GBR,-11.3,3.3,-17.4,-19.7
57.867,-5.633,GBR,-3.2,1.4,-5.8,-6.8
57.033,-7.45,GBR,-1.9,3.2,-7.9,-10.3
57.25,-5.8,GBR,-4.2,1.5,-7,-8
56.817,-4.967,GBR,N/A,N/A,N/A,N/A
58.283,-4.433,GBR,-13.4,3.8,-20.4,-23.2
56.867,-4.7,GBR,-11,3,-16.6,-18.7
58.633,-5,GBR,-1.8,1.4,-4.4,-5.4
57.267,-4.483,GBR,-4.8,2.3,-9.2,-10.9
57.683,-4.167,GBR,-4.7,2.7,-9.8,-11.8
57.543,-4.048,GBR,-9.1,2.6,-13.9,-15.8
57.817,-3.967,GBR,-8.4,3.3,-14.5,-16.8
57.2,-3.833,GBR,-12.5,4.2,-20.4,-23.5
57.117,-3.633,GBR,-11,1,-12.9,-13.7
57.649,-3.561,GBR,-7.9,2.9,-13.3,-15.4
57.705,-3.339,GBR,-8.4,3.6,-15.1,-17.7
56.883,-3.417,GBR,N/A,N/A,N/A,N/A
58.459,-3.093,GBR,-6.1,2.1,-10.1,-11.6
57.083,-2.833,GBR,-10.9,5,-20.3,-23.9
56.85,-2.267,GBR,-3.7,1,-5.5,-6.2
57.202,-2.198,GBR,-8.7,3.6,-15.4,-18
57.5,-1.767,GBR,-2,1.5,-4.9,-6
57.7,-2.117,GBR,-3.3,1.9,-6.8,-8.2
56.499,-6.869,GBR,-2.5,2.5,-7.1,-8.9
55.667,-6.5,GBR,-1.6,1.7,-4.7,-5.9
55.683,-6.25,GBR,-4.7,1.8,-8.1,-9.4
55.433,-5.7,GBR,-5.6,2.1,-9.6,-11.1
